year,c,C,C_alphabet
1990,0.153,0.838,0.535
1991,0.180,0.624,0.235
1992,0.147,0.555,0.489
1993,0.362,1.073,0.460
1994,0.202,0.557,0.335
1995,0.400,1.329,0.110
1996,0.302,0.913,0.550
1997,0.413,1.128,0.607
1998,0.355,0.979,0.333
1999,0.292,0.695,0.449
2000,0.413,1.045,0.506
2001,0.418,1.181,0.428
2002,0.261,0.673,0.284
2003,0.400,1.118,0.430
2004,0.368,0.956,0.542
2005,0.536,1.296,0.318
2006,0.515,1.136,0.357
2007,0.609,1.202,0.405
2008,0.500,1.111,0.580
2009,0.558,1.523,0.419
2010,0.640,1.419,0.378
2011,0.711,1.394,0.497
2012,0.592,1.215,0.569
