year,c,C,C_alphabet
1990,0.093,0.520,0.409
1991,0.139,0.659,0.588
1992,0.355,1.487,0.476
1993,0.158,0.823,0.392
1994,0.324,1.043,0.719
1995,0.263,0.873,0.640
1996,0.293,1.108,0.415
1997,0.236,0.702,0.489
1998,0.306,1.352,0.586
1999,0.169,0.677,0.415
2000,0.268,0.741,0.467
2001,0.386,0.864,0.288
2002,0.140,0.584,0.443
2003,0.268,0.767,0.550
2004,0.425,1.011,0.383
2005,0.406,1.015,0.445
2006,0.397,1.047,0.608
2007,0.449,1.163,0.335
2008,0.403,1.005,0.487
2009,0.333,0.771,0.360
2010,0.253,0.741,0.314
2011,0.505,1.172,0.378
2012,0.322,0.716,0.441
