year,c,C,C_alphabet
1990,0.053,0.743,0.447
1991,0.083,1.184,0.947
1992,0.090,0.970,0.718
1993,0.088,1.228,0.296
1994,0.043,0.830,0.273
1995,0.074,1.126,0.599
1996,0.065,0.885,0.638
1997,0.128,1.277,0.880
1998,0.036,0.524,0.390
1999,0.026,0.382,0.476
2000,0.087,1.062,0.824
2001,0.128,1.546,0.735
2002,0.107,1.069,0.161
2003,0.071,1.304,0.389
2004,0.079,0.950,1.146
2005,0.000,0.000,0.000
2006,0.087,0.569,0.298
2007,,,
2008,0.118,0.721,0.123
2009,0.080,0.729,1.096
2010,0.081,0.801,0.561
2011,0.058,0.553,0.433
2012,0.114,0.638,0.685
