year,c,C,C_alphabet
1990,0.125,0.830,0.000
1991,0.148,0.572,0.454
1992,0.244,0.983,0.336
1993,0.156,0.807,0.226
1994,0.425,1.022,0.374
1995,0.400,1.101,0.635
1996,0.261,0.705,0.409
1997,0.273,0.917,0.412
1998,0.355,1.069,0.359
1999,0.424,0.753,0.533
2000,0.485,1.331,0.305
2001,0.377,0.967,0.377
2002,0.470,1.355,0.497
2003,0.531,1.376,0.324
2004,0.400,0.832,0.486
2005,0.597,1.248,0.296
2006,0.486,0.849,0.455
2007,0.518,0.976,0.366
2008,0.810,1.389,0.284
2009,0.726,0.992,0.344
2010,1.014,1.542,0.514
2011,0.786,1.164,0.451
2012,1.119,1.494,0.411
