year,c,C,C_alphabet
1990,0.190,1.130,0.868
1991,0.185,1.167,1.454
1992,0.098,0.612,0.597
1993,0.095,0.681,0.782
1994,0.125,0.764,0.837
1995,0.159,0.656,0.474
1996,0.229,0.925,0.683
1997,0.250,0.774,0.719
1998,0.159,0.624,0.620
1999,0.345,0.961,0.763
2000,0.330,0.835,0.460
2001,0.328,0.764,0.530
2002,0.153,0.853,0.608
2003,0.362,0.864,0.451
2004,0.229,0.846,0.496
2005,0.200,0.758,0.381
2006,0.237,0.866,0.628
2007,0.257,0.769,0.533
2008,0.133,0.697,0.689
2009,0.463,1.056,0.619
2010,0.422,0.938,0.674
2011,0.487,0.824,0.811
2012,0.260,0.712,0.609
