year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,0.099,1.154,0.713
1994,0.137,0.579,0.398
1995,0.228,0.630,0.365
1996,0.288,0.635,0.495
1997,0.435,0.755,0.704
1998,0.270,0.538,0.842
1999,0.400,0.690,0.476
2000,0.400,0.712,0.491
2001,0.333,0.659,0.618
2002,0.684,0.790,0.990
2003,0.387,0.779,0.391
2004,0.314,0.788,0.295
2005,0.500,0.815,0.475
2006,0.571,0.880,0.449
2007,0.417,1.040,0.936
2008,0.444,1.020,0.317
2009,0.542,0.955,0.460
2010,0.632,1.019,0.513
2011,0.348,0.555,0.145
2012,0.471,0.875,0.620
