year,c,C,C_alphabet
1990,,,
1991,,,
1992,0.108,0.882,0.477
1993,0.246,0.728,0.625
1994,0.293,0.661,0.371
1995,0.218,0.617,0.420
1996,0.238,0.506,0.710
1997,0.342,0.743,0.339
1998,0.322,0.684,0.446
1999,0.409,0.793,0.625
2000,0.458,0.823,0.475
2001,0.343,0.662,0.429
2002,0.310,0.657,0.588
2003,0.232,0.463,0.385
2004,0.433,0.579,0.356
2005,0.433,0.596,0.546
2006,0.352,0.512,0.525
2007,0.534,0.580,0.434
2008,0.446,0.576,0.449
2009,0.574,0.606,0.611
2010,0.486,0.549,0.451
2011,0.523,0.656,0.488
2012,0.441,0.766,0.434
