year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,0.021,0.429,0.859
1994,0.095,0.979,0.288
1995,0.081,0.782,0.445
1996,0.069,0.596,0.836
1997,0.072,0.406,0.529
1998,0.165,0.673,0.648
1999,0.069,0.525,0.561
2000,0.197,0.880,0.424
2001,0.044,0.192,0.296
2002,0.180,0.963,0.480
2003,0.185,0.765,0.362
2004,0.289,0.823,0.406
2005,0.375,0.993,0.537
2006,0.321,0.776,0.407
2007,0.353,0.882,0.524
2008,0.320,0.843,0.606
2009,0.320,0.864,0.591
2010,0.800,1.213,0.303
2011,0.187,1.080,0.340
2012,0.207,0.895,0.393
