year,c,C,C_alphabet
1990,0.690,1.402,0.485
1991,0.677,1.302,0.601
1992,0.657,1.278,0.517
1993,0.548,0.998,0.423
1994,0.687,1.266,0.522
1995,0.761,1.303,0.500
1996,0.806,1.390,0.498
1997,0.819,1.467,0.526
1998,0.774,1.420,0.466
1999,0.691,1.185,0.470
2000,0.962,1.568,0.427
2001,0.940,1.429,0.425
2002,0.753,1.118,0.601
2003,0.844,1.293,0.508
2004,0.966,1.522,0.432
2005,0.918,1.409,0.458
2006,0.769,1.278,0.460
2007,0.910,1.432,0.494
2008,0.971,1.619,0.469
2009,1.006,1.667,0.426
2010,0.870,1.509,0.542
2011,0.989,1.802,0.540
2012,0.837,1.582,0.458
