year,c,C,C_alphabet
1990,0.131,0.757,0.589
1991,0.105,0.668,0.617
1992,0.110,0.627,0.610
1993,0.179,0.671,0.432
1994,0.262,0.754,0.645
1995,0.259,0.982,0.784
1996,0.173,0.714,0.607
1997,0.141,0.717,0.697
1998,0.176,0.660,0.584
1999,0.259,0.992,0.632
2000,0.165,0.955,0.859
2001,0.109,0.901,0.874
2002,0.130,0.833,0.574
2003,0.138,0.596,0.449
2004,0.184,0.849,0.723
2005,0.199,0.875,0.781
2006,0.225,0.895,0.740
2007,0.277,0.900,0.659
2008,0.152,0.617,0.609
2009,0.287,0.732,0.368
2010,0.200,0.963,0.658
2011,0.325,0.874,0.596
2012,0.235,0.770,0.631
