year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,0.025,1.684,0.853
1994,0.062,0.770,0.385
1995,0.114,1.156,0.867
1996,0.125,0.718,0.522
1997,0.123,1.107,0.506
1998,0.215,1.002,0.581
1999,0.225,1.141,0.649
2000,0.197,0.864,0.557
2001,0.114,0.580,0.435
2002,0.129,0.845,0.630
2003,0.105,0.449,0.457
2004,0.118,0.596,0.600
2005,0.235,0.787,0.229
2006,0.265,1.086,0.350
2007,0.198,0.742,0.742
2008,0.214,0.897,0.401
2009,0.268,0.984,0.613
2010,0.262,0.783,1.063
2011,0.255,0.933,0.351
2012,0.220,0.984,0.399
