year,c,C,C_alphabet
1990,0.325,0.830,0.685
1991,0.179,0.537,0.658
1992,0.579,0.910,0.357
1993,0.278,0.958,0.479
1994,0.263,0.785,0.765
1995,0.254,1.038,0.431
1996,0.465,1.005,0.405
1997,0.351,1.123,0.486
1998,0.160,0.709,0.288
1999,0.319,0.674,0.649
2000,0.464,0.785,0.376
2001,0.216,0.598,0.587
2002,0.455,0.959,0.372
2003,0.238,0.611,0.418
2004,0.300,0.895,0.312
2005,0.438,1.008,0.411
2006,0.358,0.712,0.337
2007,0.338,0.762,0.395
2008,0.414,0.814,0.347
2009,0.216,0.752,0.422
2010,0.301,0.867,0.625
2011,0.547,0.817,0.466
2012,0.283,0.796,0.604
