year,c,C,C_alphabet
1990,0.060,0.501,0.616
1991,0.215,1.199,0.686
1992,0.120,0.621,0.548
1993,0.183,1.298,0.692
1994,0.098,0.923,0.819
1995,0.185,1.139,0.462
1996,0.174,1.075,0.614
1997,0.211,1.027,0.799
1998,0.165,0.864,0.620
1999,0.227,1.138,0.622
2000,0.164,0.799,0.443
2001,0.193,0.763,0.558
2002,0.195,0.900,0.535
2003,0.298,1.167,0.718
2004,0.285,1.018,0.657
2005,0.318,1.025,0.477
2006,0.383,1.243,0.508
2007,0.299,0.928,0.487
2008,0.365,1.069,0.507
2009,0.277,0.828,0.493
2010,0.312,0.923,0.448
2011,0.365,0.997,0.503
2012,0.389,1.134,0.690
