year,c,C,C_alphabet
1990,0.470,0.877,0.473
1991,0.526,0.843,0.443
1992,0.545,0.859,0.429
1993,0.549,0.866,0.454
1994,0.641,0.896,0.476
1995,0.686,0.974,0.412
1996,0.582,0.777,0.410
1997,0.734,0.950,0.413
1998,0.637,0.810,0.336
1999,0.565,0.773,0.425
2000,0.706,0.824,0.442
2001,0.802,0.976,0.385
2002,0.860,1.030,0.520
2003,0.845,1.009,0.470
2004,0.776,0.898,0.400
2005,0.838,0.989,0.441
2006,0.748,0.970,0.422
2007,1.139,1.292,0.435
2008,0.740,0.963,0.468
2009,0.810,1.069,0.400
2010,0.718,0.980,0.481
2011,0.967,1.156,0.355
2012,0.636,0.902,0.373
