year,c,C,C_alphabet
1990,0.483,1.240,0.598
1991,0.292,0.729,0.937
1992,0.275,0.974,0.693
1993,0.286,0.747,0.420
1994,0.296,0.914,0.233
1995,0.463,0.755,0.585
1996,0.500,0.778,0.294
1997,0.422,0.731,0.516
1998,0.710,0.880,0.356
1999,0.833,1.017,0.444
2000,0.444,1.018,0.621
2001,0.671,1.023,0.604
2002,0.794,0.978,0.590
2003,0.366,0.913,0.690
2004,0.379,0.657,0.400
2005,0.882,1.150,0.371
2006,0.350,0.896,0.445
2007,0.709,1.230,0.482
2008,0.529,1.132,0.329
2009,0.545,1.393,0.500
2010,0.647,1.190,0.652
2011,0.586,1.034,0.492
2012,0.923,1.859,0.336
