year,c,C,C_alphabet
1990,0.185,0.771,0.585
1991,0.124,0.615,0.594
1992,0.185,0.782,0.662
1993,0.135,0.775,0.596
1994,0.111,0.584,0.345
1995,0.160,0.946,0.815
1996,0.161,0.737,0.428
1997,0.185,0.727,0.652
1998,0.126,0.730,0.496
1999,0.175,0.734,0.615
2000,0.153,0.729,0.564
2001,0.259,0.981,0.728
2002,0.127,0.458,0.417
2003,0.178,0.811,0.627
2004,0.240,0.899,0.686
2005,0.215,0.925,0.697
2006,0.200,0.804,0.682
2007,0.200,0.896,0.659
2008,0.186,0.931,0.490
2009,0.196,0.869,0.595
2010,0.233,0.943,0.718
2011,0.243,0.885,0.817
2012,0.264,0.872,0.550
