year,c,C,C_alphabet
1990,0.206,0.760,0.486
1991,0.265,0.746,0.399
1992,0.374,0.906,0.425
1993,0.327,0.821,0.580
1994,0.439,0.930,0.450
1995,0.454,0.831,0.421
1996,0.492,0.974,0.483
1997,0.545,0.879,0.435
1998,0.444,0.798,0.562
1999,0.566,0.991,0.653
2000,0.512,0.852,0.469
2001,0.573,1.014,0.528
2002,0.461,0.872,0.476
2003,0.544,0.968,0.494
2004,0.607,1.112,0.554
2005,0.585,1.095,0.488
2006,0.619,1.121,0.535
2007,0.788,1.344,0.562
2008,0.735,1.202,0.516
2009,0.803,1.231,0.603
2010,0.737,1.201,0.463
2011,0.894,1.343,0.562
2012,0.906,1.354,0.509
