year,c,C,C_alphabet
1990,0.224,0.833,0.280
1991,0.393,1.278,0.361
1992,0.359,1.516,0.414
1993,0.302,1.083,0.179
1994,0.270,0.767,0.334
1995,0.367,0.952,0.527
1996,0.286,0.702,0.164
1997,0.681,1.118,0.368
1998,0.532,1.208,0.462
1999,0.235,0.726,0.281
2000,0.851,1.075,0.473
2001,0.486,0.811,0.358
2002,0.452,1.041,0.432
2003,0.427,0.647,0.187
2004,0.420,1.042,0.596
2005,0.400,0.838,0.485
2006,0.494,0.840,0.374
2007,0.395,0.877,0.331
2008,0.656,1.297,0.507
2009,0.411,0.790,0.465
2010,0.529,1.051,0.474
2011,0.344,0.732,0.393
2012,0.478,0.986,0.335
