year,c,C,C_alphabet
1990,0.200,0.915,0.610
1991,0.297,1.024,0.449
1992,0.196,0.954,0.662
1993,0.175,0.957,0.773
1994,0.324,1.239,1.092
1995,0.245,1.085,0.498
1996,0.153,0.741,0.527
1997,0.272,1.026,0.623
1998,0.303,1.085,0.803
1999,0.222,0.957,0.636
2000,0.362,1.101,0.593
2001,0.221,0.729,0.702
2002,0.387,1.229,0.729
2003,0.324,1.007,0.687
2004,0.181,0.719,0.433
2005,0.203,0.719,0.405
2006,0.128,0.541,0.605
2007,0.256,1.087,0.699
2008,0.262,0.932,0.695
2009,0.222,0.789,0.556
2010,0.313,1.231,0.994
2011,0.231,1.034,0.682
2012,0.173,0.792,0.502
