year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,0.130,0.644,0.533
1994,0.280,0.843,0.587
1995,0.330,0.805,0.450
1996,0.343,0.954,0.618
1997,0.441,0.680,0.462
1998,0.363,0.754,0.458
1999,0.634,0.816,0.384
2000,1.120,1.242,0.437
2001,0.615,0.857,0.492
2002,0.833,0.957,0.431
2003,0.833,0.971,0.525
2004,0.726,1.021,0.530
2005,0.504,0.691,0.592
2006,0.685,0.824,0.421
2007,0.923,0.987,0.333
2008,0.688,1.007,0.402
2009,0.804,0.959,0.534
2010,0.694,0.899,0.417
2011,0.562,0.805,0.370
2012,0.944,1.148,0.373
