year,c,C,C_alphabet
1990,0.000,nan,nan
1991,,,
1992,,,
1993,,,
1994,0.102,2.210,0.849
1995,0.125,0.900,0.857
1996,0.186,1.103,0.247
1997,0.128,0.722,0.578
1998,0.140,0.756,0.132
1999,0.188,0.844,0.487
2000,0.179,0.718,0.293
2001,0.081,0.393,0.000
2002,0.200,1.092,0.356
2003,0.256,0.842,0.421
2004,0.212,0.861,0.452
2005,0.289,0.975,0.618
2006,0.065,0.421,0.768
2007,0.176,0.988,0.482
2008,0.164,0.966,0.757
2009,0.283,1.233,0.611
2010,0.218,1.140,0.567
2011,0.230,0.745,0.534
2012,0.292,0.860,0.403
