year,c,C,C_alphabet
1990,0.498,0.706,0.484
1991,0.542,0.882,0.546
1992,0.523,0.799,0.427
1993,0.491,0.814,0.503
1994,0.533,0.856,0.544
1995,0.481,0.858,0.501
1996,0.687,0.805,0.411
1997,0.572,0.796,0.467
1998,0.587,0.807,0.449
1999,0.520,0.697,0.354
2000,0.623,0.779,0.428
2001,0.702,0.902,0.354
2002,0.676,0.952,0.383
2003,0.705,0.916,0.432
2004,0.574,0.882,0.409
2005,0.535,0.812,0.502
2006,0.768,0.901,0.442
2007,0.689,0.888,0.393
2008,0.783,0.823,0.409
2009,0.762,0.958,0.421
2010,0.677,0.918,0.429
2011,0.732,0.985,0.486
2012,0.888,1.069,0.437
