year,c,C,C_alphabet
1990,0.914,0.861,0.497
1991,0.503,0.840,0.511
1992,0.960,0.907,0.520
1993,0.952,0.811,0.467
1994,0.966,0.815,0.435
1995,1.233,0.891,0.423
1996,1.323,1.107,0.554
1997,0.874,0.974,0.454
1998,0.914,0.926,0.677
1999,1.224,0.891,0.687
2000,0.559,0.779,0.557
2001,1.011,0.805,0.575
2002,0.713,0.735,0.582
2003,1.273,0.980,0.657
2004,0.989,0.705,0.600
2005,0.925,0.855,0.588
2006,1.627,1.190,0.719
2007,0.959,1.104,0.823
2008,1.154,0.887,0.473
2009,0.493,0.960,0.817
2010,1.139,1.098,0.576
2011,0.718,1.126,0.697
2012,0.680,0.760,0.652
