year,c,C,C_alphabet
1990,0.376,0.666,0.566
1991,0.442,0.899,0.719
1992,0.506,0.799,0.701
1993,0.460,0.827,0.758
1994,0.565,0.867,0.729
1995,0.535,0.842,0.809
1996,0.575,0.810,0.637
1997,0.560,0.835,0.761
1998,0.646,0.879,0.808
1999,0.520,0.849,0.705
2000,0.432,0.716,0.657
2001,0.384,0.609,0.568
2002,0.440,0.772,0.795
2003,0.368,0.607,0.579
2004,0.382,0.575,0.575
2005,0.379,0.637,0.625
2006,0.291,0.566,0.476
2007,0.536,0.895,0.740
2008,0.196,0.402,0.366
2009,0.363,0.770,0.701
2010,0.358,0.591,0.461
2011,0.606,0.988,0.878
2012,0.431,0.887,0.740
