year,c,C,C_alphabet
1990,0.158,0.958,0.673
1991,0.155,0.864,0.498
1992,0.153,0.961,0.694
1993,0.203,0.959,0.637
1994,0.169,0.780,0.427
1995,0.212,0.807,0.380
1996,0.297,1.151,0.606
1997,0.269,0.957,0.539
1998,0.223,0.962,0.612
1999,0.361,1.021,0.596
2000,0.273,0.788,0.629
2001,0.354,0.938,0.454
2002,0.344,0.973,0.599
2003,0.292,0.804,0.518
2004,0.337,0.877,0.373
2005,0.302,0.899,0.625
2006,0.329,0.879,0.439
2007,0.294,0.891,0.501
2008,0.369,1.007,0.389
2009,0.470,1.031,0.430
2010,0.333,0.827,0.500
2011,0.370,0.958,0.654
2012,0.360,0.966,0.551
