year,c,C,C_alphabet
1990,0.500,0.789,0.346
1991,0.628,0.894,0.418
1992,0.527,0.799,0.413
1993,0.623,0.838,0.520
1994,0.769,0.895,0.409
1995,0.750,0.788,0.463
1996,0.948,0.928,0.429
1997,1.151,0.926,0.371
1998,0.863,1.046,0.445
1999,0.989,0.935,0.564
2000,1.046,1.002,0.415
2001,0.824,0.734,0.504
2002,0.838,0.768,0.408
2003,1.313,1.060,0.420
2004,1.244,1.068,0.550
2005,1.111,0.916,0.428
2006,0.898,1.080,0.540
2007,1.071,1.076,0.366
2008,1.017,0.965,0.342
2009,1.312,1.161,0.358
2010,1.272,1.231,0.347
2011,1.021,0.981,0.404
2012,0.691,1.028,0.502
