year,c,C,C_alphabet
1990,,,
1991,0.059,0.509,0.160
1992,0.216,1.208,1.003
1993,0.071,0.791,0.437
1994,0.108,0.835,0.319
1995,0.154,1.236,0.785
1996,0.117,0.696,0.513
1997,0.139,1.024,0.608
1998,0.175,0.863,0.471
1999,0.135,0.806,0.436
2000,0.243,0.862,0.528
2001,0.205,0.843,0.641
2002,0.234,1.134,0.692
2003,0.195,0.647,0.270
2004,0.250,0.904,0.627
2005,0.307,1.217,0.610
2006,0.310,1.126,0.555
2007,0.133,0.746,0.359
2008,0.237,1.214,0.641
2009,0.171,0.821,0.595
2010,0.245,1.138,0.437
2011,0.148,0.556,0.706
2012,0.276,0.937,0.409
