year,c,C,C_alphabet
1990,0.407,0.729,0.542
1991,0.448,0.810,0.578
1992,0.442,0.801,0.554
1993,0.455,0.888,0.761
1994,0.439,0.751,0.514
1995,0.510,0.824,0.526
1996,0.613,0.904,0.619
1997,0.562,0.803,0.582
1998,0.578,0.740,0.513
1999,0.610,0.776,0.517
2000,0.675,0.801,0.515
2001,0.627,0.701,0.533
2002,0.635,0.739,0.485
2003,0.583,0.667,0.515
2004,0.783,0.786,0.578
2005,0.615,0.596,0.468
2006,0.773,0.723,0.534
2007,0.787,0.704,0.512
2008,0.734,0.742,0.496
2009,0.769,0.738,0.525
2010,0.832,0.764,0.487
2011,0.656,0.615,0.460
2012,0.814,0.662,0.449
