year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,0.089,0.760,0.446
1994,0.208,0.846,0.580
1995,0.269,0.795,0.446
1996,0.321,0.816,0.487
1997,0.410,0.933,0.529
1998,0.412,0.859,0.552
1999,0.432,0.885,0.513
2000,0.511,1.000,0.531
2001,0.491,0.932,0.506
2002,0.596,1.033,0.474
2003,0.593,1.033,0.454
2004,0.551,0.940,0.514
2005,0.532,0.932,0.508
2006,0.707,1.224,0.533
2007,0.582,1.104,0.564
2008,0.732,1.285,0.519
2009,0.661,1.268,0.533
2010,0.707,1.340,0.543
2011,0.644,1.129,0.527
2012,0.706,1.324,0.534
