year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,0.047,0.503,0.340
1994,0.126,0.385,0.412
1995,0.312,0.683,0.504
1996,0.287,0.427,0.419
1997,0.444,0.724,0.628
1998,0.220,0.641,0.425
1999,0.582,0.777,0.554
2000,0.361,0.626,0.476
2001,0.452,0.962,0.587
2002,0.495,0.743,0.651
2003,0.662,0.804,0.482
2004,0.506,0.724,0.603
2005,0.353,0.506,0.369
2006,0.492,0.706,0.514
2007,0.515,0.520,0.505
2008,0.275,0.642,0.640
2009,0.484,0.685,0.602
2010,0.349,0.672,0.400
2011,0.322,0.539,0.433
2012,0.316,0.729,0.641
