year,c,C,C_alphabet
1990,0.021,0.264,0.683
1991,0.143,0.725,0.886
1992,0.214,0.751,0.378
1993,0.282,0.828,0.724
1994,0.209,0.562,0.383
1995,0.268,0.657,0.408
1996,0.471,0.839,0.560
1997,0.162,0.652,0.726
1998,0.169,0.681,0.680
1999,0.264,1.007,0.281
2000,0.220,0.869,0.828
2001,0.219,0.835,0.579
2002,0.197,0.629,0.433
2003,0.185,1.031,0.495
2004,0.263,1.053,0.755
2005,0.177,0.897,0.687
2006,0.248,0.900,0.673
2007,0.196,0.667,0.547
2008,0.257,0.854,0.688
2009,0.286,0.905,0.736
2010,0.310,0.855,0.703
2011,0.198,0.982,0.529
2012,0.148,0.836,0.623
