year,c,C,C_alphabet
1990,0.271,0.705,0.584
1991,0.308,0.620,0.620
1992,0.547,1.143,0.392
1993,0.199,0.718,0.415
1994,0.255,0.980,0.329
1995,0.215,0.781,0.379
1996,0.299,0.701,0.536
1997,0.387,0.876,0.435
1998,0.212,0.654,0.377
1999,0.439,0.894,0.486
2000,0.343,0.731,0.549
2001,0.365,0.937,0.449
2002,0.361,0.848,0.378
2003,0.351,0.849,0.487
2004,0.298,0.786,0.525
2005,0.301,0.768,0.548
2006,0.290,0.825,0.316
2007,0.333,0.767,0.395
2008,0.514,1.177,0.323
2009,0.464,1.075,0.416
2010,0.356,1.030,0.450
2011,0.475,1.101,0.255
2012,0.321,0.673,0.461
