year,c,C,C_alphabet
1990,,,
1991,,,
1992,0.028,0.514,0.339
1993,0.122,0.873,0.333
1994,0.196,0.823,0.464
1995,0.206,1.060,0.556
1996,0.297,0.910,0.238
1997,0.330,0.716,0.391
1998,0.296,0.766,0.461
1999,0.423,0.813,0.506
2000,0.301,0.879,0.265
2001,0.391,0.646,0.373
2002,0.410,0.786,0.434
2003,0.295,0.653,0.380
2004,0.296,0.796,0.738
2005,0.313,0.791,0.408
2006,0.527,0.944,0.457
2007,0.404,1.014,0.346
2008,0.326,0.839,0.569
2009,0.477,1.014,0.478
2010,0.417,0.998,0.351
2011,0.497,0.870,0.446
2012,0.669,1.052,0.406
