year,c,C,C_alphabet
1990,0.154,0.542,0.674
1991,0.135,0.699,0.686
1992,0.074,0.375,1.184
1993,0.173,0.722,0.773
1994,0.098,0.680,0.343
1995,0.127,0.535,0.535
1996,0.077,0.523,0.439
1997,0.164,0.874,0.838
1998,0.042,0.206,0.215
1999,0.244,0.740,0.774
2000,0.196,0.906,0.567
2001,0.100,0.652,0.687
2002,0.174,0.577,0.617
2003,0.209,0.758,0.674
2004,0.175,0.763,0.623
2005,0.094,0.592,0.355
2006,0.075,0.435,0.305
2007,0.170,1.121,1.048
2008,0.039,0.279,0.474
2009,0.245,0.820,0.784
2010,0.093,0.576,0.794
2011,0.228,1.080,0.742
2012,0.188,0.724,0.601
